Date,year_month,usd_ngn_rate
2004-01-01,2004-01,137.76
2004-02-01,2004-02,136.44
2004-03-01,2004-03,134.8
2004-04-01,2004-04,137.23
2004-05-01,2004-05,134.81
2004-06-01,2004-06,133.54
2004-07-01,2004-07,134.39
2004-08-01,2004-08,133.23
2004-09-01,2004-09,133.77
2004-10-01,2004-10,133.76
2004-11-01,2004-11,133.15
2004-12-01,2004-12,133.14
2005-01-01,2005-01,133.11
2005-02-01,2005-02,133.15
2005-03-01,2005-03,133.09
2005-04-01,2005-04,133.06
2005-05-01,2005-05,133.37
2005-06-01,2005-06,134.35
2005-07-01,2005-07,135.35
2005-08-01,2005-08,135.94
2005-09-01,2005-09,132.55
2005-10-01,2005-10,131.09
2005-11-01,2005-11,130.8
2005-12-01,2005-12,130.08
2006-01-01,2006-01,129.93
2006-02-01,2006-02,129.33
2006-03-01,2006-03,128.68
2006-04-01,2006-04,128.58
2006-05-01,2006-05,128.57
2006-06-01,2006-06,128.5
2006-07-01,2006-07,128.43
2006-08-01,2006-08,128.43
2006-09-01,2006-09,128.39
2006-10-01,2006-10,128.42
2006-11-01,2006-11,128.42
2006-12-01,2006-12,128.39
2007-01-01,2007-01,128.37
2007-02-01,2007-02,128.33
2007-03-01,2007-03,128.25
2007-04-01,2007-04,128.25
2007-05-01,2007-05,127.62
2007-06-01,2007-06,127.5
2007-07-01,2007-07,127.2
2007-08-01,2007-08,126.57
2007-09-01,2007-09,125.74
2007-10-01,2007-10,123.56
2007-11-01,2007-11,119.45
2007-12-01,2007-12,118.11
2008-01-01,2008-01,117.72
2008-02-01,2008-02,117.5
2008-03-01,2008-03,116.79
2008-04-01,2008-04,117.47
2008-05-01,2008-05,117.79
2008-06-01,2008-06,117.74
2008-07-01,2008-07,117.71
2008-08-01,2008-08,117.69
2008-09-01,2008-09,117.62
2008-10-01,2008-10,117.72
2008-11-01,2008-11,117.88
2008-12-01,2008-12,134.33
2009-01-01,2009-01,146.59
2009-02-01,2009-02,149.12
2009-03-01,2009-03,0.0
2009-04-01,2009-04,0.0
2009-05-01,2009-05,0.0
2009-06-01,2009-06,148.54
2009-07-01,2009-07,149.88
2009-08-01,2009-08,155.23
2009-09-01,2009-09,153.25
2009-10-01,2009-10,150.22
2009-11-01,2009-11,151.03
2009-12-01,2009-12,149.8
2010-01-01,2010-01,150.33
2010-02-01,2010-02,150.97
2010-03-01,2010-03,150.08
2010-04-01,2010-04,150.38
2010-05-01,2010-05,151.49
2010-06-01,2010-06,151.27
2010-07-01,2010-07,150.27
2010-08-01,2010-08,150.7
2010-09-01,2010-09,152.62
2010-10-01,2010-10,151.78
2010-11-01,2010-11,150.55
2010-12-01,2010-12,152.63
2011-01-01,2011-01,152.57
2011-02-01,2011-02,152.75
2011-03-01,2011-03,155.21
2011-04-01,2011-04,154.6
2011-05-01,2011-05,156.17
2011-06-01,2011-06,155.66
2011-07-01,2011-07,152.6
2011-08-01,2011-08,152.36
2011-09-01,2011-09,156.7
2011-10-01,2011-10,159.82
2011-11-01,2011-11,158.76
2011-12-01,2011-12,162.27
2012-01-01,2012-01,161.31
2012-02-01,2012-02,158.59
2012-03-01,2012-03,157.72
2012-04-01,2012-04,157.44
2012-05-01,2012-05,157.46
2012-06-01,2012-06,162.33
2012-07-01,2012-07,161.33
2012-08-01,2012-08,158.97
2012-09-01,2012-09,157.78
2012-10-01,2012-10,157.24
2012-11-01,2012-11,157.58
2012-12-01,2012-12,157.33
2013-01-01,2013-01,156.96
2013-02-01,2013-02,157.52
2013-03-01,2013-03,158.63
2013-04-01,2013-04,158.2
2013-05-01,2013-05,158.02
2013-06-01,2013-06,160.02
2013-07-01,2013-07,161.12
2013-08-01,2013-08,161.15
2013-09-01,2013-09,161.96
2013-10-01,2013-10,159.83
2013-11-01,2013-11,158.79
