Date,year_month,mpr
2006-01-01,2006-01,13.0
2006-02-01,2006-02,13.0
2006-03-01,2006-03,13.0
2006-04-01,2006-04,13.0
2006-05-01,2006-05,13.0
2006-06-01,2006-06,14.0
2006-07-01,2006-07,14.0
2006-08-01,2006-08,14.0
2006-09-01,2006-09,14.0
2006-10-01,2006-10,14.0
2006-11-01,2006-11,14.0
2006-12-01,2006-12,10.0
2007-01-01,2007-01,10.0
2007-02-01,2007-02,10.0
2007-03-01,2007-03,10.0
2007-04-01,2007-04,10.0
2007-05-01,2007-05,10.0
2007-06-01,2007-06,8.0
2007-07-01,2007-07,8.0
2007-08-01,2007-08,8.0
2007-09-01,2007-09,8.0
2007-10-01,2007-10,9.0
2007-11-01,2007-11,9.0
2007-12-01,2007-12,9.5
2008-01-01,2008-01,9.5
2008-02-01,2008-02,9.5
2008-03-01,2008-03,9.5
2008-04-01,2008-04,10.0
2008-05-01,2008-05,10.0
2008-06-01,2008-06,10.25
2008-07-01,2008-07,10.25
2008-08-01,2008-08,10.25
2008-09-01,2008-09,9.75
2008-10-01,2008-10,9.75
2008-11-01,2008-11,9.75
2008-12-01,2008-12,9.75
2009-01-01,2009-01,9.75
2009-02-01,2009-02,9.75
2009-03-01,2009-03,9.75
2009-04-01,2009-04,8.0
2009-05-01,2009-05,8.0
2009-06-01,2009-06,8.0
2009-07-01,2009-07,6.0
2009-08-01,2009-08,6.0
2009-09-01,2009-09,6.0
2009-10-01,2009-10,6.0
2009-11-01,2009-11,6.0
2009-12-01,2009-12,6.0
2010-01-01,2010-01,6.0
2010-02-01,2010-02,6.0
2010-03-01,2010-03,6.0
2010-04-01,2010-04,6.0
2010-05-01,2010-05,6.0
2010-06-01,2010-06,6.0
2010-07-01,2010-07,6.0
2010-08-01,2010-08,6.0
2010-09-01,2010-09,6.25
2010-10-01,2010-10,6.25
2010-11-01,2010-11,6.25
2010-12-01,2010-12,6.25
2011-01-01,2011-01,6.5
2011-02-01,2011-02,6.5
2011-03-01,2011-03,7.5
2011-04-01,2011-04,7.5
2011-05-01,2011-05,8.0
2011-06-01,2011-06,8.0
2011-07-01,2011-07,8.75
2011-08-01,2011-08,8.75
2011-09-01,2011-09,9.25
2011-10-01,2011-10,12.0
2011-11-01,2011-11,12.0
2011-12-01,2011-12,12.0
2012-01-01,2012-01,12.0
2012-02-01,2012-02,12.0
2012-03-01,2012-03,12.0
2012-04-01,2012-04,12.0
2012-05-01,2012-05,12.0
2012-06-01,2012-06,12.0
2012-07-01,2012-07,12.0
2012-08-01,2012-08,12.0
2012-09-01,2012-09,12.0
2012-10-01,2012-10,12.0
2012-11-01,2012-11,12.0
2012-12-01,2012-12,12.0
2013-01-01,2013-01,12.0
