Date,year_month,oil_price
2004-01-01,2004-01,31.17523809524
2004-02-01,2004-02,30.866
2004-03-01,2004-03,33.79913043478
2004-04-01,2004-04,33.36227272727
2004-05-01,2004-05,37.91631578947
2004-06-01,2004-06,35.19136363636
2004-07-01,2004-07,38.37045454545
2004-08-01,2004-08,43.03
2004-09-01,2004-09,43.38136363636
2004-10-01,2004-10,49.8180952381
2004-11-01,2004-11,43.05363636364
2004-12-01,2004-12,39.64428571429
2005-01-01,2005-01,44.28333333333
2005-02-01,2005-02,45.557
2005-03-01,2005-03,53.08409090909
2005-04-01,2005-04,51.85714285714
2005-05-01,2005-05,48.66590909091
2005-06-01,2005-06,54.30681818182
2005-07-01,2005-07,57.57904761905
2005-08-01,2005-08,64.09
2005-09-01,2005-09,62.98181818182
2005-10-01,2005-10,58.5219047619
2005-11-01,2005-11,55.535
2005-12-01,2005-12,56.7475
2006-01-01,2006-01,63.57428571429
2006-02-01,2006-02,59.923
2006-03-01,2006-03,62.25304347826
2006-04-01,2006-04,70.44210526316
2006-05-01,2006-05,70.18727272727
2006-06-01,2006-06,68.85772727273
2006-07-01,2006-07,73.89714285714
2006-08-01,2006-08,73.61217391304
2006-09-01,2006-09,62.7719047619
2006-10-01,2006-10,58.38
2006-11-01,2006-11,58.48318181818
2006-12-01,2006-12,62.31473684211
2007-01-01,2007-01,54.29909090909
2007-02-01,2007-02,57.757
2007-03-01,2007-03,62.14363636364
2007-04-01,2007-04,67.39842105263
2007-05-01,2007-05,67.47608695652
2007-06-01,2007-06,71.31619047619
2007-07-01,2007-07,77.20409090909
2007-08-01,2007-08,70.79652173913
2007-09-01,2007-09,77.127
2007-10-01,2007-10,82.85782608696
2007-11-01,2007-11,92.52818181818
2007-12-01,2007-12,91.45
2008-01-01,2008-01,91.92045454545
2008-02-01,2008-02,94.81666666667
2008-03-01,2008-03,103.2775
2008-04-01,2008-04,110.18772727273
2008-05-01,2008-05,123.93619047619
2008-06-01,2008-06,133.04857142857
2008-07-01,2008-07,133.87304347826
2008-08-01,2008-08,113.84904761905
2008-09-01,2008-09,99.06409090909
2008-10-01,2008-10,72.84260869565
2008-11-01,2008-11,53.241
2008-12-01,2008-12,41.58090909091
2009-01-01,2009-01,44.86
2009-02-01,2009-02,43.2425
2009-03-01,2009-03,46.83909090909
2009-04-01,2009-04,50.84523809524
2009-05-01,2009-05,57.94095238095
2009-06-01,2009-06,68.61681818182
2009-07-01,2009-07,64.91
2009-08-01,2009-08,72.50476190476
2009-09-01,2009-09,67.68681818182
2009-10-01,2009-10,73.19409090909
2009-11-01,2009-11,77.03666666667
2009-12-01,2009-12,74.66954545455
2010-01-01,2010-01,76.373
2010-02-01,2010-02,74.312
2010-03-01,2010-03,79.2747826087
2010-04-01,2010-04,84.97857142857
2010-05-01,2010-05,76.25095238095
2010-06-01,2010-06,74.83818181818
2010-07-01,2010-07,74.73545454545
2010-08-01,2010-08,76.69318181818
2010-09-01,2010-09,77.78681818182
2010-10-01,2010-10,82.9180952381
2010-11-01,2010-11,85.67
2010-12-01,2010-12,91.79652173913
2011-01-01,2011-01,96.29428571429
2011-02-01,2011-02,103.9555
2011-03-01,2011-03,114.44130434783
2011-04-01,2011-04,123.07
2011-05-01,2011-05,114.45818181818
2011-06-01,2011-06,113.75772727273
2011-07-01,2011-07,116.46
2011-08-01,2011-08,110.08130434783
2011-09-01,2011-09,110.87909090909
2011-10-01,2011-10,109.46857142857
2011-11-01,2011-11,110.50409090909
2011-12-01,2011-12,107.90904761905
2012-01-01,2012-01,111.15619047619
2012-02-01,2012-02,119.70238095238
2012-03-01,2012-03,124.92863636364
2012-04-01,2012-04,120.4635
2012-05-01,2012-05,110.52173913044
2012-06-01,2012-06,95.58904761905
2012-07-01,2012-07,103.14090909091
2012-08-01,2012-08,113.34
2012-09-01,2012-09,113.3825
2012-10-01,2012-10,111.97347826087
2012-11-01,2012-11,109.71181818182001
2012-12-01,2012-12,109.6765
2013-01-01,2013-01,112.97363636364
2013-02-01,2013-02,116.5195
2013-03-01,2013-03,109.24
2013-04-01,2013-04,102.87545454546
2013-05-01,2013-05,103.02695652174
2013-06-01,2013-06,103.11
2013-07-01,2013-07,107.71608695652
2013-08-01,2013-08,110.96454545455
2013-09-01,2013-09,111.62142857143
2013-10-01,2013-10,109.47869565217
2013-11-01,2013-11,108.07619047619
2013-12-01,2013-12,110.674
2014-01-01,2014-01,107.42
2014-02-01,2014-02,108.81
2014-03-01,2014-03,107.4
2014-04-01,2014-04,107.79
2014-05-01,2014-05,109.68
2014-06-01,2014-06,111.87
2014-07-01,2014-07,106.98
2014-08-01,2014-08,101.92
2014-09-01,2014-09,97.34
2014-10-01,2014-10,87.27
2014-11-01,2014-11,78.44
2014-12-01,2014-12,62.33
2015-01-01,2015-01,48.07
2015-02-01,2015-02,57.93
2015-03-01,2015-03,55.79
2015-04-01,2015-04,59.39
2015-05-01,2015-05,64.56
2015-06-01,2015-06,62.34
2015-07-01,2015-07,55.87
2015-08-01,2015-08,46.99
2015-09-01,2015-09,47.24
2015-10-01,2015-10,48.12
2015-11-01,2015-11,44.42
2015-12-01,2015-12,37.72
2016-01-01,2016-01,30.8
2016-02-01,2016-02,33.2
2016-03-01,2016-03,39.07
2016-04-01,2016-04,42.25
2016-05-01,2016-05,47.13
2016-06-01,2016-06,48.48
2016-07-01,2016-07,45.07
2016-08-01,2016-08,46.14
2016-09-01,2016-09,46.19
2016-10-01,2016-10,49.73
2016-11-01,2016-11,46.44
2016-12-01,2016-12,54.07
2017-01-01,2017-01,54.89
2017-02-01,2017-02,55.49
2017-03-01,2017-03,51.97
2017-04-01,2017-04,52.98
2017-05-01,2017-05,50.87
2017-06-01,2017-06,46.89
2017-07-01,2017-07,48.69
2017-08-01,2017-08,51.37
2017-09-01,2017-09,55.16
2017-10-01,2017-10,57.62
2017-11-01,2017-11,62.57
2017-12-01,2017-12,64.21
2018-01-01,2018-01,68.99
2018-02-01,2018-02,65.42
2018-03-01,2018-03,66.45
2018-04-01,2018-04,71.63
2018-05-01,2018-05,76.65
2018-06-01,2018-06,75.19
2018-07-01,2018-07,74.44
2018-08-01,2018-08,73.13
2018-09-01,2018-09,78.86
2018-10-01,2018-10,80.47
2018-11-01,2018-11,65.17
2018-12-01,2018-12,56.46
2019-01-01,2019-01,59.27
2019-02-01,2019-02,64.13
2019-03-01,2019-03,66.41
2019-04-01,2019-04,71.2
2019-05-01,2019-05,70.53
2019-06-01,2019-06,63.3
2019-07-01,2019-07,64.0
2019-08-01,2019-08,59.25
2019-09-01,2019-09,62.33
2019-10-01,2019-10,59.37
2019-11-01,2019-11,62.74
2019-12-01,2019-12,65.85
2020-01-01,2020-01,63.6
2020-02-01,2020-02,55.0
2020-03-01,2020-03,32.98
2020-04-01,2020-04,23.34
2020-05-01,2020-05,31.02
2020-06-01,2020-06,39.93
2020-07-01,2020-07,42.81
2020-08-01,2020-08,44.26
2020-09-01,2020-09,41.09
2020-10-01,2020-10,40.47
2020-11-01,2020-11,43.23
2020-12-01,2020-12,49.87
2021-01-01,2021-01,54.55
2021-02-01,2021-02,61.96
2021-03-01,2021-03,65.19
2021-04-01,2021-04,64.77
2021-05-01,2021-05,68.04
2021-06-01,2021-06,73.07
2021-07-01,2021-07,74.39
2021-08-01,2021-08,70.02
2021-09-01,2021-09,74.6
2021-10-01,2021-10,83.65
2021-11-01,2021-11,80.77
2021-12-01,2021-12,74.31
2022-01-01,2022-01,85.53
2022-02-01,2022-02,95.76
2022-03-01,2022-03,115.59
2022-04-01,2022-04,105.78
2022-05-01,2022-05,112.37
2022-06-01,2022-06,120.08
2022-07-01,2022-07,108.92
2022-08-01,2022-08,98.6
2022-09-01,2022-09,90.16
2022-10-01,2022-10,93.13
2022-11-01,2022-11,91.07
2022-12-01,2022-12,80.9
2023-01-01,2023-01,83.09
2023-02-01,2023-02,82.71
2023-03-01,2023-03,78.53
2023-04-01,2023-04,84.11
2023-05-01,2023-05,75.7
2023-06-01,2023-06,74.89
2023-07-01,2023-07,80.1
2023-08-01,2023-08,86.163
2023-09-01,2023-09,94.0
2023-10-01,2023-10,91.061
2023-11-01,2023-11,83.183
2023-12-01,2023-12,77.858
2024-01-01,2024-01,80.227
2024-02-01,2024-02,83.764
2024-03-01,2024-03,85.447
2024-04-01,2024-04,90.054
2024-05-01,2024-05,81.995
2024-06-01,2024-06,82.555
2024-07-01,2024-07,85.296
2024-08-01,2024-08,80.863
2024-09-01,2024-09,74.293
2024-10-01,2024-10,75.662
2024-11-01,2024-11,74.395
2024-12-01,2024-12,73.833
